"facility","facility_uid","subcounty","subcounty_uid","municipality","municipality_uid","district","district_uid","region","region_uid"
"Kawempe Division Field Survey Station 166","nKNR77wZGmC","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 158","mtuYntuPeLF","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 167","lDDdixaJa05","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 191","F7ZmbCrZDOC","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 172","VoF2pNk5Xoe","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 173","MYW6CCYGe2A","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 159","bE0GS2DL21m","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 144","SSNUnjUxUtc","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 192","SnRMeujN4lW","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 160","OSleC23iW7B","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 168","wcDKJrQCvF8","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 161","EoAp4kVbeTj","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 169","OdxAjpBhVeG","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 193","NesJuwJOy4W","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 145","uXKebLP04ii","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 146","v39jIK57FPH","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 162","WWlY7qs18QI","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 194","WFrERnQeKsD","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 170","DriIIzpurHP","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 174","bFJN3PDbNO4","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 147","sXVYYZPY6DN","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 148","ZNH8vUHXSe1","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 175","EtojCiFp2el","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 171","D9p1sQVRXlj","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 163","NLYhYHt7zmb","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 149","sVC0T77MpVL","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 195","wmMOLdz13cP","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 196","hLhSc0TXAr2","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 172","RJ90DzOxRrs","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 197","qQVGk01mnjZ","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 173","dy0ugC48CHH","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 174","xCnVq104QQO","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 175","Nn5FlsBkPkQ","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 176","SncLnWjDs4H","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 176","xviaeTbVFTq","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 198","qnr5L0GcIlU","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 150","l8xLG4qN7Eu","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 177","tvvgSv0Or3n","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 151","rS6CAP8CzOo","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 178","dFVCs1nqN9e","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 177","AZlaul76yqp","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 152","SByryiWsa89","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 199","FSCJx5lt6JS","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 178","wZ7da8feu18","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 153","OdxxQc8Ft7U","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 154","VSDTCc2of9f","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 155","Bywd6nAfskH","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 179","AgBwTuRSBuX","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 156","aMcxqYcYtot","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 200","FyXdTT3xqY4","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 157","Mmw6BnP9Z9d","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 164","WPSYy1bDfIb","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 158","vTqB8UrtjVT","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 159","FSUG8mPpQsG","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 201","Wrl1imMXK2x","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 160","EO6SXk3vTa9","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 161","fkgsxLedTU9","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 180","q898SsUiMnw","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 162","urBh5Re3GoK","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 179","XdiiKUMeHEA","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 180","qqE0KQ9Jp4J","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 181","olglSUQuS07","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 163","fx0oQE9YIzw","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 165","lBHVowy9gn1","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 166","v2D7MOcsVge","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 202","KDbw26kI5c4","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 203","s6ZNqvLy0mT","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 181","NGGSo5LvN66","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 167","A6ymxlGAArq","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 182","gv9c5KYrp4O","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 183","dgqoCJ0j0O6","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 184","BbMm9NF0VVB","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 168","PFSwjAJZIaq","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 185","a2l9vpRshsu","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 169","wepUthscBkh","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 170","zr5cvuTC2oB","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 182","y7dPZ228JMz","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 183","QgAL2KJE7g4","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 184","CAmmzQ05KMV","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 185","BrtC10sqp45","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 186","owOVNT2yPYd","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 164","Jmbv7qMCHUG","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 187","YGb3TGRjmYq","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 186","i6B1bu1WZWx","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 204","sOHZmgchvcN","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 205","jEVRYDprMDJ","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 206","UMYvXcVFsCs","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 171","m5WWZQFunt2","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 165","VfXzOU9ExvV","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 187","Hl2WyuSQ8DZ","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 166","bqOvMadxN2y","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 172","XGogRMc96SC","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 207","XOBBNAYa4e4","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 173","kUt13kAkDOM","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 188","vWa2iHi6OIH","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 189","FW5ZLxwCFDx","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 174","OdUyD5qm3qW","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 208","zDSnnqXyABV","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 167","BUKrloYEKHj","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 168","O8lAfV2Odft","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 188","hRY61NLBKaB","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 189","OjAzmXKJ9Ie","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 190","Ygv5366dTvl","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 209","Q7LoLG6emZG","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 191","weGvPfLPMka","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 192","FMu3EDXv2PI","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 193","ZMx8WwcQT8p","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 169","hDw3L9MBPUJ","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 190","U49ngvYZPae","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 170","LzD00HGGX1i","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 194","H9YG6L867lc","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 171","VShK9NlDa9S","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 195","yzDV7m9w1Qn","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 210","ro7h17PnZIN","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 172","xWciTkoF28c","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 175","sNksBKVL12G","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 196","IUrGt2f5J7l","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 197","JDdNcU36a6m","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Lubaga Division Field Survey Station 176","dJOVTBJZdxB","Lubaga Division","oweSpFBNbmi","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 191","V3hPwIbHatb","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 211","V6m1VNTJl3D","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 212","B114jjFsS3U","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 213","RuTngsSXrI0","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 198","pNT8f17lJiA","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 199","FEkeHjEos5Q","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 200","Jb3ruV9NJ4K","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 201","K1hnPf50efF","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 192","lkIGQoB6eb6","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 193","CEBCcOEBEyp","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 194","P8IEZbxjj0P","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 195","W1oqGw51eR3","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 202","gknBkw0BFIm","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Central Division Field Survey Station 173","FFCA7KzL08a","Central Division","zNdkt1W9dcu","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Nakawa Division Field Survey Station 214","Tk7tMVWOhoh","Nakawa Division","kKEBeO1LL7S","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 203","mvtqd7EGRAM","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Makindye Division Field Survey Station 204","W6xq6GhydXm","Makindye Division","FbuhMjEaMXt","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
"Kawempe Division Field Survey Station 196","hqz9JrhGYV1","Kawempe Division","LYuMx5oPsR5","Kampala City Council","R1tKznhbbIx","Kampala District","aXmBzv61LbM","Kampala","GIpyzaSuEgM"
